FECHA_PROCESO;RUC_PROVEEDOR;PROVEEDOR;RUC_ENTIDAD;ENTIDAD;TIPO_PROCEDIMIENTO;ORDEN_ELECTRÓNICA;ORDEN_ELECTRÓNICA_GENERADA;ESTADO_ORDEN_ELECTRÓNICA;DOCUMENTO_ESTADO_OCAM;FECHA_FORMALIZACIÓN;FECHA_ÚLTIMO_ESTADO;SUB_TOTAL;IGV;TOTAL;ORDEN_DIGITALIZADA;DESCRIPCIÓN_ESTADO;DESCRIPCIÓN_CESIÓN_DERECHOS;ACUERDO_MARCO
2023-09-01 08:00:31;20609119366;JQM SUMINISTROS PERU E.I.R.L.;20525832334;HOSPITAL DE LA AMISTAD PERU - COREA SANTA ROSA II-2;Compra ordinaria;OCAM-2023-1306-74-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2358717&ImprimirCompleto=1;ACEPTADA;;2023-08-31 23:02:44;2023-08-31 23:02:44;533.40;96.01;629.41;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-1306-74_FISICA.pdf;;;EXT-CE-2021-6 IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2023-09-01 08:00:31;20603066384;GRUPO WIGAN EIRL.;20144364059;FUERZA AEREA DEL PERU;Compra ordinaria;OCAM-2023-472-288-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2359593&ImprimirCompleto=1;ACEPTADA;;2023-08-31 21:19:19;2023-08-31 21:19:19;24558.00;4420.44;28978.44;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-472-288_FISICA.pdf;;;EXT-CE-2021-12 TUBERIAS, PINTURAS, CERÁMICOS, SANITARIOS, ACCESORIOS, Y COMPLEMENTOS EN GENERAL
2023-09-01 08:00:31;20603066384;GRUPO WIGAN EIRL.;20172268430;MUNICIPALIDAD PROVINCIAL DE HUARAZ;Compra ordinaria;OCAM-2023-300085-47-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2358265&ImprimirCompleto=1;ACEPTADA;;2023-08-31 21:18:33;2023-08-31 21:18:33;25500.00;4590.00;30090.00;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-300085-47_FISICA.pdf;;;EXT-CE-2021-12 TUBERIAS, PINTURAS, CERÁMICOS, SANITARIOS, ACCESORIOS, Y COMPLEMENTOS EN GENERAL
2023-09-01 08:00:31;20573327196;ATLANTA TECHNOLOGIES CENTER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;20156074242;MUNICIPALIDAD PROVINCIAL DE CALCA;Compra ordinaria;OCAM-2023-300708-173-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2372086&ImprimirCompleto=1;ACEPTADA;;2023-08-31 20:56:20;2023-08-31 20:56:20;3945.28;710.15;4655.43;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-300708-173_FISICA.pdf;;;EXT-CE-2022-5 COMPUTADORAS DE ESCRITORIO, COMPUTADORAS PORTÁTILES  Y ESCÁNERES
2023-09-01 08:00:31;20573327196;ATLANTA TECHNOLOGIES CENTER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;20195499765;MUNICIPALIDAD DISTRITAL DE OCONGATE;Compra ordinaria;OCAM-2023-300782-97-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2361507&ImprimirCompleto=1;ACEPTADA;;2023-08-31 20:55:03;2023-08-31 20:55:03;9755.06;1755.91;11510.97;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-300782-97_FISICA.pdf;;;EXT-CE-2022-5 COMPUTADORAS DE ESCRITORIO, COMPUTADORAS PORTÁTILES  Y ESCÁNERES
2023-09-01 08:00:31;20573327196;ATLANTA TECHNOLOGIES CENTER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;20491240742;UNIDAD EJECUTORA RED DE SALUD ABANCAY;Compra ordinaria;OCAM-2023-1498-55-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2371647&ImprimirCompleto=1;ACEPTADA;;2023-08-31 20:54:26;2023-08-31 20:54:26;9741.04;1753.39;11494.43;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-1498-55_FISICA.pdf;;;EXT-CE-2022-5 COMPUTADORAS DE ESCRITORIO, COMPUTADORAS PORTÁTILES  Y ESCÁNERES
2023-09-01 08:00:31;20504115594;J & A DISEGE S.R.L;20486154145;UNIDAD DE GESTION EDUCATIVA LOCAL HUANCAVELICA;Compra ordinaria;OCAM-2023-1639-24-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2361055&ImprimirCompleto=1;ACEPTADA;;2023-08-31 20:49:06;2023-08-31 20:49:06;12675.81;2281.65;14957.46;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-1639-24_FISICA.pdf;;;EXT-CE-2021-7 ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2023-09-01 08:00:31;20550271029;LA VOIX TRANSCRITE S.A.C.;20174943924;HOSPITAL NACIONAL DANIEL ALCIDES CARRION;Compra ordinaria;OCAM-2023-1317-54-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2360743&ImprimirCompleto=1;ACEPTADA;;2023-08-31 20:20:07;2023-08-31 20:20:07;10380.00;1868.40;12248.40;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-1317-54_FISICA.pdf;;;EXT-CE-2021-7 ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2023-09-01 08:00:31;20564402169;ANTAPA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - ANTAPA E.I.R.L.;20527147612;GOBIERNO REGIONAL CUSCO;Compra ordinaria;OCAM-2023-789-862-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2359217&ImprimirCompleto=1;ACEPTADA;;2023-08-31 19:05:27;2023-08-31 19:05:27;22448.58;4040.74;26489.32;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-789-862_FISICA.pdf;;;EXT-CE-2021-6 IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2023-09-01 08:00:31;20440384049;COMPU CENTER BUSSINES S.A.C.;20186461615;MUNICIPALIDAD DISTRITAL DE SAMANCO;Compra ordinaria;OCAM-2023-300230-61-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2361241&ImprimirCompleto=1;ACEPTADA;;2023-08-31 18:51:05;2023-08-31 18:51:05;2206.89;397.24;2604.13;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-300230-61_FISICA.pdf;;;EXT-CE-2022-5 COMPUTADORAS DE ESCRITORIO, COMPUTADORAS PORTÁTILES  Y ESCÁNERES
2023-09-01 08:00:31;10040212286;MAURICIO RICRA JUANA;20193980644;DIRECCION REGIONAL DE SALUD PASCO;Compra ordinaria;OCAM-2023-889-137-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2361045&ImprimirCompleto=1;ACEPTADA;;2023-08-31 18:20:11;2023-08-31 18:20:11;4044.15;727.95;4772.10;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-889-137_FISICA.pdf;;;EXT-CE-2021-7 ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2023-09-01 08:00:31;20504115594;J & A DISEGE S.R.L;20486020882;GOBIERNO REGIONAL DE HUANCAVELICA;Compra ordinaria;OCAM-2023-799-314-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2371811&ImprimirCompleto=1;ACEPTADA;;2023-08-31 18:08:54;2023-08-31 18:08:54;864.00;155.52;1019.52;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-799-314_FISICA.pdf;;;EXT-CE-2021-7 ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2023-09-01 08:00:31;20601042356;CONSORCIO ALLIETZY E.I.R.L.;20131378204;MUNICIPALIDAD DIST SN JUAN DE MIRAFLORES;Compra ordinaria;OCAM-2023-301282-27-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2359875&ImprimirCompleto=1;ACEPTADA;;2023-08-31 18:08:20;2023-08-31 18:08:20;8729.75;1571.36;10301.11;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-301282-27_FISICA.pdf;;;EXT-CE-2021-12 TUBERIAS, PINTURAS, CERÁMICOS, SANITARIOS, ACCESORIOS, Y COMPLEMENTOS EN GENERAL
2023-09-01 08:00:31;20601042356;CONSORCIO ALLIETZY E.I.R.L.;20131378204;MUNICIPALIDAD DIST SN JUAN DE MIRAFLORES;Compra ordinaria;OCAM-2023-301282-28-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2372050&ImprimirCompleto=1;ACEPTADA;;2023-08-31 18:08:00;2023-08-31 18:08:00;9980.00;1796.40;11776.40;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-301282-28_FISICA.pdf;;;EXT-CE-2021-12 TUBERIAS, PINTURAS, CERÁMICOS, SANITARIOS, ACCESORIOS, Y COMPLEMENTOS EN GENERAL
2023-09-01 08:00:31;20472896297;ADV INTEGRADORES E.I.R.L.;20542068281;UNIVERSIDAD NACIONAL DE BARRANCA;Gran Compra;OCAM-2023-1374-16-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2372318&ImprimirCompleto=1;ACEPTADA;;2023-08-31 17:57:48;2023-08-31 17:57:48;58469.60;10524.53;68994.13;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-1374-16_FISICA.pdf;;;EXT-CE-2021-2 EQUIPOS MULTIMEDIA Y ACCESORIOS
2023-09-01 08:00:31;20285564973;DISTRIBUCIONES ESPINOZA E.I.R.L.;20146008845;MUNICIPALIDAD PROVINCIAL DE HUANUCO;Compra ordinaria;OCAM-2023-300885-21-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2346158&ImprimirCompleto=1;ACEPTADA;;2023-08-31 17:42:35;2023-08-31 17:42:35;2888.52;519.93;3408.45;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-300885-21_FISICA.pdf;;;EXT-CE-2021-10 LLANTAS, NEUMÁTICOS Y ACCESORIOS
2023-09-01 08:00:31;20602381545;MULTISERVICIOS Y VENTAS GENERALES M & C S.A.C.;20487463737;UNIVERSIDAD NACIONAL DE JAÉN;Compra ordinaria;OCAM-2023-1364-98-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2361305&ImprimirCompleto=1;ACEPTADA;;2023-08-31 17:19:20;2023-08-31 17:19:20;12372.00;2226.96;14598.96;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-1364-98_FISICA.pdf;;;EXT-CE-2021-7 ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
2023-09-01 08:00:31;10769601193;AMANCIO SANTILLAN BORIS JUNIOR;20159340008;MUNICIPALIDAD DISTRITAL DE SANTA TERESA;Compra ordinaria;OCAM-2023-300755-177-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2359751&ImprimirCompleto=1;ACEPTADA;;2023-08-31 16:57:24;2023-08-31 16:57:24;1864.00;335.52;2199.52;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-300755-177_FISICA.pdf;;;EXT-CE-2021-16 BIENES Y HERRAMIENTAS PARA USOS DIVERSOS
2023-09-01 08:00:31;20600848349;TECHCOPIER PERU S.A.C.;20396835801;UTES N06-SERVICIOS PERIFERICOS TRUJILLO;Compra ordinaria;OCAM-2023-854-291-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2360499&ImprimirCompleto=1;ACEPTADA;;2023-08-31 16:47:33;2023-08-31 16:47:33;2493.24;448.78;2942.02;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-854-291_FISICA.pdf;;;EXT-CE-2021-6 IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2023-09-01 08:00:31;20440384049;COMPU CENTER BUSSINES S.A.C.;20529629355;CORTE SUPERIOR DE JUSTICIA DE CAJAMARCA;Compra ordinaria;OCAM-2023-1472-109-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2371631&ImprimirCompleto=1;ACEPTADA;;2023-08-31 16:47:03;2023-08-31 16:47:03;22278.06;4010.05;26288.11;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-1472-109_FISICA.pdf;;;EXT-CE-2021-6 IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2023-09-01 08:00:31;20608995511;PRODUCTOS & SERVICIOS MULTIPLES INTEXT S.A.C.;20573016786;CORTE SUPERIOR DE JUSTICIA DE HUANUCO;Compra ordinaria;OCAM-2023-1469-60-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2359186&ImprimirCompleto=1;ACEPTADA;;2023-08-31 16:14:15;2023-08-31 16:14:15;67626.00;12172.68;79798.68;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-1469-60_FISICA.pdf;;;EXT-CE-2022-17 BEBIDAS NO ALCOHÓLICAS
2023-09-01 08:00:31;10258094854;GONZALES CERRO DONATO;20131373741;MUNICIPALIDAD DE SAN BORJA;Compra ordinaria;OCAM-2023-301279-156-0;https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2358501&ImprimirCompleto=1;ACEPTADA;;2023-08-31 16:07:33;2023-08-31 16:07:33;56082.18;10094.79;66176.97;https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2023-301279-156_FISICA.pdf;;;EXT-CE-2021-7 ÚTILES DE ESCRITORIO, PAPELES Y CARTONES
