FECHA_PROCESO;RUC_PROVEEDOR;PROVEEDOR;RUC_ENTIDAD;ENTIDAD;TIPO_PROCEDIMIENTO;ORDEN_ELECTRÓNICA;ORDEN_ELECTRÓNICA_GENERADA;ESTADO_ORDEN_ELECTRÓNICA;DOCUMENTO_ESTADO_OCAM;FECHA_FORMALIZACIÓN;FECHA_ÚLTIMO_ESTADO;SUB_TOTAL;IGV;TOTAL;ORDEN_DIGITALIZADA;DESCRIPCIÓN_ESTADO;DESCRIPCIÓN_CESIÓN_DERECHOS;ACUERDO_MARCO
2024-04-01 16:44:13;	10439717471;	ARMAS HUAMAN DEENY SUSY;	20133696823;	MUNICIPALIDAD PROVINCIAL DE HUANCAYO;	Compra ordinaria;	OCAM-2024-301003-39-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2686551&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-14 00:00:00;	2024-03-14 00:25:08;	509.40;	91.70;	601.10;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301003-39_12-03-24 18:15:06_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	10439717471;	ARMAS HUAMAN DEENY SUSY;	20133696823;	MUNICIPALIDAD PROVINCIAL DE HUANCAYO;	Gran Compra;	OCAM-2024-301003-23-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2657309&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-01 00:00:00;	2024-03-01 00:27:18;	2788.50;	501.93;	3290.43;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301003-23_28-02-24 19:42:23_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	10439717471;	ARMAS HUAMAN DEENY SUSY;	20133696823;	MUNICIPALIDAD PROVINCIAL DE HUANCAYO;	Compra ordinaria;	OCAM-2024-301003-34-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2685330&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-13 00:00:00;	2024-03-13 00:19:30;	2850.00;	513.00;	3363.00;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301003-34_11-03-24 18:21:03_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	15563347004;	DZHANAEVA ANZHELIKA;	20133696823;	MUNICIPALIDAD PROVINCIAL DE HUANCAYO;	Gran Compra;	OCAM-2024-301003-22-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2657305&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-01 00:00:00;	2024-03-01 00:27:18;	127802.40;	23004.43;	150806.83;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301003-22_28-02-24 19:44:31_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20602429131;	GESTION TRIBUTARIA S.A.C.;	20133696823;	MUNICIPALIDAD PROVINCIAL DE HUANCAYO;	Compra ordinaria;	OCAM-2024-301003-38-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2686535&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-14 00:00:00;	2024-03-14 00:25:08;	1500.00;	270.00;	1770.00;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301003-38_12-03-24 18:43:34_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20602429131;	GESTION TRIBUTARIA S.A.C.;	20133696823;	MUNICIPALIDAD PROVINCIAL DE HUANCAYO;	Compra ordinaria;	OCAM-2024-301003-18-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2656048&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-01 00:00:00;	2024-03-01 00:27:18;	10857.00;	1954.26;	12811.26;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301003-18_28-02-24 18:07:55_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20604933103;	ATIQ CORPORATION SOCIEDAD ANONIMA CERRADA;	20133696823;	MUNICIPALIDAD PROVINCIAL DE HUANCAYO;	Compra ordinaria;	OCAM-2024-301003-40-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2686567&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-14 00:00:00;	2024-03-14 00:25:08;	11.76;	2.12;	13.88;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301003-40_12-03-24 18:13:50_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20604933103;	ATIQ CORPORATION SOCIEDAD ANONIMA CERRADA;	20133696823;	MUNICIPALIDAD PROVINCIAL DE HUANCAYO;	Gran Compra;	OCAM-2024-301003-24-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2657319&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-01 00:00:00;	2024-03-01 00:27:18;	1750.00;	315.00;	2065.00;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301003-24_28-02-24 19:41:02_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20605925520;	W & M SIRYCATA S.A.C.;	20133696823;	MUNICIPALIDAD PROVINCIAL DE HUANCAYO;	Gran Compra;	OCAM-2024-301003-21-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2657299&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-01 00:00:00;	2024-03-01 00:27:18;	11760.00;	2116.80;	13876.80;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-301003-21_28-02-24 19:39:18_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	10409471744;	BOHORQUEZ ALMEYDA JUAN MIGUEL;	20136341066;	EMPRESA DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DEL SANTA, CASMA Y HUARMEY SOCIEDAD ANONIMA;	Compra ordinaria;	OCAM-2024-500137-9-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2698509&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-18 00:00:00;	2024-03-18 00:16:55;	1233.50;	222.03;	1455.53;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-500137-9_14-03-24 10:31:25_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
